Symbol,metap,metafc,idx
CBX7,2.219592148696676e-4,-0.6811479448722264,-2.488728514617456
MROH7,0.0012910142308628322,0.8530724018323633,2.464585005702256
SERINC4,0.048335937574667705,-1.8373499595468996,-2.4174561921051634
PRKAR2B,2.0775540294851072e-4,0.6557364311684545,2.414715095061617
PKP4,5.156914458742761e-4,-0.7289997997416267,-2.3966670844608657
MSANTD2,2.9443057145260495e-6,0.43205860221799985,2.3897235162600894
NHEJ1,0.0017505318955097922,-0.8623733488478122,-2.377416694966468
ECM2,0.005769628414592634,1.0580672061105973,2.368856045714624
C1QTNF6,0.0013184631547852868,-0.8212480621083912,-2.365138575902024
GDPD1,4.933057946189394e-7,-0.37322418466193774,-2.353881557692268
GATAD2A,2.1627996481631838e-4,0.6411669836035021,2.3498665501337785
