Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
PYGL,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RAB35,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RAB3GAP2,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
RAI2,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
RALGDS,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RANGRF,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RBX1,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
RFPL3,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
RFTN2,0,0,0,1,1,1,1,0,4,4,16,1.Unperturbed
RNF217,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RPS3A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RPUSD1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RSPH9,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SELENOT,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SGPP2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SH3D19,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SIAH2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SIGLEC1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SLC12A7,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SLC19A1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
SLC24A1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SLC27A4,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SLC4A8,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
SLIRP,0,0,0,-1,-1,-1,-1,0,4,-4,-16,0.Down-regulated
SLMAP,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SNX19,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SP140L,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
