Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
PAFAH2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
PCBD1,-1,NA,NA,-1,-1,NA,-1,0,4,-4,-16,0.Down-regulated
PCDH9,0,0,0,1,1,1,1,0,4,4,16,1.Unperturbed
PFKM,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
PHETA1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PLCD1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PLRG1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
PXN,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RAB11A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RAB3GAP2,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
RAMACL,0,0,0,1,1,0,1,1,4,4,16,1.Unperturbed
RAPGEF1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
REEP6,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RETSAT,1,0,0,1,0,1,0,1,4,4,16,1.Unperturbed
REXO5,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RPLP0,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
RPP30,1,0,1,1,0,0,1,0,4,4,16,1.Unperturbed
RPRD1A,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
RPS19BP1,-1,0,-1,-1,0,0,-1,0,4,-4,-16,0.Down-regulated
RPS23,1,0,0,1,0,0,1,1,4,4,16,1.Unperturbed
SAV1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
SELENOT,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SGPP1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SHC2,0,0,-1,-1,0,0,-1,-1,4,-4,-16,0.Down-regulated
SHOC2,1,0,0,1,0,0,1,1,4,4,16,1.Unperturbed
SLC31A2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SLC4A1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
SPATS2L,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
STRAP,1,0,0,1,1,NA,1,0,4,4,16,1.Unperturbed
